ATL,33.640411,-84.419853
DFW,32.89748,-97.040443
DEN,39.849312,-104.673828
LAX,33.942791,-118.410042
ORD,41.978611,-87.904724
JFK,40.641766,-73.780968
MCO,28.424618,-81.310753
LAS,36.083134,-115.148315
CLT,35.21389,-80.943054
MIA,25.79516,-80.279594
SEA,47.443546,-122.301659
EWR,40.689491,-74.174538
SFO,37.615223,-122.389977
PHX,33.435249,-112.010216
IAH,29.993067,-95.341812
BOS,42.365589,-71.010025
FLL,26.074215,-80.150726
MSP,44.88197,-93.22178
LGA,40.776863,-73.874069
DTW,42.213249,-83.352859
PHL,39.87294,-75.243988
SLC,40.78633019,-111.9733294
BWI,39.17754,-76.668526
DCA,38.8514403,-77.0377214
SAN,32.73177,-117.197624
IAD,38.9474564,-77.4599286
TPA,27.979168,-82.539337
BNA,36.131687,-86.668823
AUS,30.1945272,-97.6698761
MDW,41.7859722,-87.7524167
HNL,21.3178247,-157.9202503
DAL,32.848152,-96.851349
PDX,45.5887089,-122.5968694
STL,38.7486982,-90.3700257
RDU,35.8776389,-78.7874722
HOU,29.6457998,-95.2772316
SMF,38.6954444,-121.5907778
MSY,29.9932722,-90.2590275
SJC,37.363949,-121.92894
SJU,18.4393992,-66.0021333
SNA,33.678925,-117.862869
MCI,39.2976111,-94.7138889
OAK,37.7212614,-122.2211506
SAT,29.5339583,-98.4690569
RSW,26.5361639,-81.755155
CLE,41.4094069,-81.8546911
IND,39.7173056,-86.2946389
PIT,40.4914167,-80.2326944
CVG,39.053276,-84.663017
CMH,39.9969467,-82.8921592
PBI,26.6831617,-80.0955919
OGG,20.8986486,-156.4304586
JAX,30.4940456,-81.6878467
ONT,34.0560142,-117.6011875
BUR,34.2006944,-118.3586667
BDL,41.9390322,-72.6843158
CHS,32.8986389,-80.0405278
MKE,42.94989,-87.900414
ANC,61.1740847,-149.9981375
ABQ,35.0389316,-106.6082622
OMA,41.3031667,-95.8940556
MEM,35.040031,-89.981873
RIC,37.5051811,-77.3197386
BOI,43.5643611,-116.2228611
ORF,36.8946042,-76.2012292
BUF,42.9404272,-78.7305697
SDF,38.174085,-85.7364936
RNO,39.4991111,-119.7681111
SRQ,27.3954444,-82.5543889
OKC,35.393074,-97.6007617
KOA,19.738765,-156.0456311
ELP,31.8073333,-106.3763611
GEG,47.6190278,-117.5352222
TUS,32.116112,-110.941109
SAV,32.1275833,-81.2021389
GRR,42.8808333,-85.5228056
LGB,33.8179297,-118.1518906
LIH,21.9759833,-159.3389578
PVD,41.7223333,-71.4277222
MYR,33.6797411,-78.9283214
PSP,33.8296697,-116.5066942
TUL,36.1983933,-95.8881053
DSM,41.5339728,-93.6630722
BHM,33.5638889,-86.7523056
SFB,28.7771781,-81.2349136
SYR,43.1111811,-76.1063203
TYS,35.805813,-83.989815
ALB,42.7491161,-73.80198
PNS,30.4734167,-87.1866111
ROC,43.128002,-77.665474
GSP,34.8956711,-82.2188594
PIE,27.9086336,-82.68651
BZN,45.7772358,-111.1502603
FAT,36.7765556,-119.7188333
COS,38.8058167,-104.7007764
HPN,41.0669531,-73.7075661
AVL,35.436077,-82.541298
VPS,30.4832194,-86.5260443
PWM,43.6456435,-70.3086164
LIT,34.7294414,-92.2247772
MSN,43.1398791,-89.3375045
